j;TS;ALT;Site_type;Main_sp;N;BA;Dg;Hg;Hdom;VOL;N_pine;BA_pine;Dg_pine;Hg_pine;VOL_pine;N_spruce;BA_spruce;Dg_spruce;Hg_spruce;VOL_spruce;N_birch;BA_birch;Dg_birch;Hg_birch;VOL_birch;est_N;est_BA;est_Dg
Southern_Finland;1400;80;2;2;1073;22.6;20.3;16.4;19.2;177.9;26;0.7;21;15.3;5.1;919;20;20.4;16.4;158.2;128;1.9;19.4;16.8;14.6;1072;22.5;20.3
Southern_Finland;1400;80;3;2;851;20.2;21.3;17.4;19.7;168.7;118;4.5;23.7;18.3;39.1;597;14;21.2;17.2;116.3;136;1.7;15.8;16.5;13.3;851;19.7;21.1
Southern_Finland;1400;80;3;1;932;19.8;22;17.9;20.2;167.5;377;13.9;24;19.1;126.1;194;2.7;22.2;15.3;18.9;361;3.2;13.1;14.9;22.5;932;19.2;21.9
Southern_Finland;1400;80;4;1;915;16.8;20.2;16.6;18.6;134.1;610;15.2;21.1;17;124.9;32;0.3;13.2;12.2;1.6;273;1.3;10.7;12.5;7.6;915;16.3;20.1
Southern_Finland;1400;80;5;1;1156;15.1;15;12.3;14.4;94.2;1079;14.4;15;12.2;89.7;7;0;8.5;7.7;0.2;70;0.7;14.1;14;4.3;1156;14.4;14.8
Central_Finland;1250;100;2;2;903;21.1;21.8;15.3;17.9;149.1;0;0;0;0;0;756;17.5;21.7;14.5;118.1;147;3.6;22.2;19.2;31;903;20.8;21.8
Central_Finland;1250;100;3;2;1111;19.2;18.9;15.6;18.4;143.9;69;2.4;22.9;18.3;20.8;738;13.3;19.3;15.2;98;304;3.5;14.4;15.1;25.1;1111;18.9;18.7
Central_Finland;1250;100;3;1;1391;20.5;17.3;14.7;17.4;147.3;772;14.4;18.3;15.2;107.2;317;3.5;16;13.2;22.8;302;2.6;13.9;14.2;17.3;1391;19.6;17.2
Central_Finland;1250;100;4;1;872;16.1;18.9;15.6;17.7;121.9;666;14.6;19.6;16;113.5;65;0.4;11;8.9;1.9;141;1.1;13;12.8;6.5;872;15.7;18.9
Central_Finland;1250;100;5;1;1015;13.6;15.7;12.2;14.3;84.4;930;13.1;15.9;12.3;81.8;16;0.1;10.3;8.6;0.4;69;0.4;12;11.1;2.2;1015;13;15.6
NOB-Kainuu;1100;150;2;2;1420;20;18.1;12.7;15.4;120.5;16;0.2;15.3;11.9;1.3;933;16.5;19.2;12.9;101.2;471;3.3;12.5;11.5;18;1420;20.1;18.1
NOB-Kainuu;1100;150;3;2;1328;19.1;17.9;14.1;17;129.5;71;1.7;19.1;15.2;12.3;866;13.4;18.7;14.2;91.8;391;4;14.6;13.5;25.4;1328;18.7;17.8
NOB-Kainuu;1100;150;3;1;1296;19;17.2;14.1;16.4;131.5;762;14.2;18.3;14.5;101.8;162;1.6;15.1;11.9;9.6;372;3.2;13.6;13.3;20.1;1296;18.5;17.1
NOB-Kainuu;1100;150;4;1;1131;16;16.4;13.3;15.5;106.5;748;13.3;17.3;13.7;91.5;71;0.6;13.9;10.3;3.1;312;2.1;11.6;11.8;11.9;1130;15.6;16.3
NOB-Kainuu;1100;150;5;1;1266;12.9;13.9;10.8;12.8;71.4;1068;11.8;14.2;10.9;66.5;3;0.1;18.3;12.3;0.3;195;1;9.7;10;4.6;1266;12.5;13.9
Lapland;950;150;2;2;1637;20.6;16.5;11.4;13.8;112.6;39;0.3;11.9;11.1;1.8;917;14.8;18.1;11.8;83.4;681;5.5;12.4;10.5;27.4;1638;21;16.7
Lapland;950;150;3;2;1824;19.3;16.2;12.7;15.6;117.9;138;4;23.1;15.7;30;526;6.9;17.3;12.3;41.5;1160;8.4;12;11.7;46.4;1823;19.3;16
Lapland;950;150;3;1;1904;20.2;14.6;11.6;14;119.1;1264;16;15.4;12.2;99.1;272;2.3;13.3;9.7;11.5;368;1.9;9.6;9.3;8.5;1905;19.9;14.6
Lapland;950;150;4;1;2224;16.4;12.3;9.5;12.3;80.6;1226;10.9;12.9;9.8;56.4;291;1.5;9.6;7;5.8;707;4;11.6;9.7;18.4;2224;16.7;12.8
Lapland;950;150;5;1;2083;12.4;10.6;8.2;10.2;54.6;1166;8.1;11.3;8.8;38.5;668;3.1;8.8;6.7;11.3;249;1.2;10.2;8;4.8;2083;12.3;10.6
